ticker,alpha,ADV,optimal_AUM,trades_count
CARM,1.2716788215519778e-05,6423564378.409375,4084355.3894494483,4074
LNZL,0.00013762961761923872,586106060.2631578,4033277.6479168446,1713
RKKE,0.0001834387545003761,434254195.5263158,3982952.438195508,1360
KLVZ,0.00017525904340360174,443713983.9405405,3888244.418511011,2187
IVAT,4.84521577298067e-05,1593057276.15,3859353.1208318016,2763
KRKNP,0.00012537205343063321,559647400.0,3508207.186755748,1332
ROST,0.0010230037045970213,67696170.11764705,3462671.640869155,544
LPSB,0.00012227547822341405,564041055.2702702,3448419.4885405703,1569
MDMG,8.152088359681413e-06,8388535478.702614,3419204.1215353063,2822
LNZLP,8.493202535656909e-05,800080230.2702702,3397621.720230211,2155
INGR,0.0007427831566854345,89240079.26470588,3314301.388954831,346
ROLO,3.453300484707879e-05,1861923997.9157896,3214891.522245914,2755
CHGZ,0.00020498799406223913,311705765.82857144,3194796.9837416452,1349
VLHZ,0.0005228524614572837,118467061.23529412,3097039.7284242143,824
DVEC,0.00012715628817151217,477439148.2777778,3035469.496138522,1840
CNTLP,0.00016482233295917476,331749603.54285717,2733987.180710751,1729
BELU,6.097228991866316e-06,8523117719.0,2598370.0228688153,4299
MSTT,3.5106308093426936e-05,1397634524.0675676,2453289.4101963076,2397
KZOSP,5.1368660573952404e-05,939849463.3111111,2413940.40357199,2487
INGO,4.5695320125145355e-05,1037240622.6078125,2369852.1148434537,2287
MSRS,2.4437263251150845e-05,1931831257.1891892,2360433.4494366953,2550
AKMB,2.475634683734237e-05,1867519389.07545,2311647.8860706785,4192
ZVEZ,0.0006455826884357142,68685274.57142857,2217101.2106884024,579
NSVZ,8.877252752753684e-05,499486753.0263158,2217035.0766334306,2154
AVAN,5.216851227254788e-05,845206836.3333334,2204659.1607048432,1994
ELMT,4.8469416139962306e-05,881899775.0731579,2137258.3595880023,2785
KZOS,4.626511688389668e-05,909490602.1891892,2103884.450754421,2405
LVHK,0.00034862125405696147,113962598.75,1986489.2045907653,799
MRSB,0.0005695606612585773,67299628.78787878,1916561.0537440511,408
UKUZ,0.000922043686869069,41112005.03030303,1895353.234636016,504
SVET,7.065299383799899e-05,536103208.2328948,1893864.8333905102,2641
KUZB,0.0003350358265945029,104574300.2,1751806.8554024342,1300
BRZL,7.213831110463644e-05,466487256.85714287,1682580.1430754513,1653
